image_filename,Name,Height,Weight,Age,Blood_Group
Tyler_Grillo_0001.jpg,Tyler_Grillo_0001,153 cm,90 kg,30,O+
Tyrone_Medley_0001.jpg,Tyrone_Medley_0001,173 cm,53 kg,37,AB+
Ulrich_Kueperkoch_0001.jpg,Ulrich_Kueperkoch_0001,170 cm,65 kg,58,A+
Uri_Lopolianski_0001.jpg,Uri_Lopolianski_0001,150 cm,71 kg,49,B+
Urmila_Matondkar_0001.jpg,Urmila_Matondkar_0001,175 cm,50 kg,23,O+
Vaclav_Klaus_0001.jpg,Vaclav_Klaus_0001,187 cm,70 kg,44,A+
Vaclav_Klaus_0002.jpg,Vaclav_Klaus_0002,155 cm,55 kg,55,O+
Vadim_Devyatovskiy_0001.jpg,Vadim_Devyatovskiy_0001,155 cm,62 kg,31,A+
Vadim_Strogalev_0001.jpg,Vadim_Strogalev_0001,156 cm,62 kg,22,B+
Valentina_Cervi_0001.jpg,Valentina_Cervi_0001,173 cm,71 kg,34,A+
Valerie_Thwaites_0001.jpg,Valerie_Thwaites_0001,177 cm,51 kg,26,A+
Valeri_Bure_0001.jpg,Valeri_Bure_0001,150 cm,62 kg,41,AB+
Valorie_Brabazon_0001.jpg,Valorie_Brabazon_0001,183 cm,83 kg,57,O+
Vanessa_Incontrada_0001.jpg,Vanessa_Incontrada_0001,164 cm,74 kg,41,AB+
Van_Hilley_0001.jpg,Van_Hilley_0001,158 cm,70 kg,54,A+
Vijay_Nambiar_0001.jpg,Vijay_Nambiar_0001,158 cm,84 kg,39,A+
Vincent_Brooks_0001.jpg,Vincent_Brooks_0001,159 cm,55 kg,28,B+
Vincent_Brooks_0002.jpg,Vincent_Brooks_0002,183 cm,79 kg,52,A+
Vincent_Brooks_0003.jpg,Vincent_Brooks_0003,190 cm,77 kg,32,O+
Vincent_Brooks_0004.jpg,Vincent_Brooks_0004,177 cm,50 kg,60,A+
Vincent_Brooks_0005.jpg,Vincent_Brooks_0005,183 cm,86 kg,26,B+
Vincent_Brooks_0006.jpg,Vincent_Brooks_0006,176 cm,64 kg,23,A+
Vincent_Brooks_0007.jpg,Vincent_Brooks_0007,159 cm,66 kg,59,AB+
Vincent_Gallo_0001.jpg,Vincent_Gallo_0001,186 cm,80 kg,32,B+
Vincent_Gallo_0002.jpg,Vincent_Gallo_0002,178 cm,53 kg,58,O+
Vincent_Gallo_0003.jpg,Vincent_Gallo_0003,181 cm,73 kg,25,O+
Vince_Dooley_0001.jpg,Vince_Dooley_0001,165 cm,88 kg,39,O+
Vince_Vaughan_0001.jpg,Vince_Vaughan_0001,181 cm,66 kg,20,A+
Virgina_Ruano_Pascal_0001.jpg,Virgina_Ruano_Pascal_0001,172 cm,75 kg,21,O+
Vivica_Fox_0001.jpg,Vivica_Fox_0001,189 cm,51 kg,54,A+
Vivica_Fox_0002.jpg,Vivica_Fox_0002,156 cm,88 kg,27,A+
Vladimiro_Montesinos_0001.jpg,Vladimiro_Montesinos_0001,150 cm,77 kg,51,A+
Vladimiro_Montesinos_0002.jpg,Vladimiro_Montesinos_0002,190 cm,75 kg,27,A+
Vladimiro_Montesinos_0003.jpg,Vladimiro_Montesinos_0003,181 cm,72 kg,33,B+
Vladimir_Golovlyov_0001.jpg,Vladimir_Golovlyov_0001,181 cm,50 kg,32,AB+
Vladimir_Spidla_0001.jpg,Vladimir_Spidla_0001,171 cm,83 kg,31,B+
Vladimir_Spidla_0002.jpg,Vladimir_Spidla_0002,174 cm,56 kg,42,B+
Vladimir_Spidla_0003.jpg,Vladimir_Spidla_0003,179 cm,82 kg,31,B+
Vytas_Danelius_0001.jpg,Vytas_Danelius_0001,154 cm,79 kg,24,B+
Walid_Al-Awadi_0001.jpg,Walid_Al-Awadi_0001,150 cm,72 kg,31,O+
Wally_Szczerbiak_0001.jpg,Wally_Szczerbiak_0001,165 cm,50 kg,21,O+
Wanda_de_la_Jesus_0001.jpg,Wanda_de_la_Jesus_0001,177 cm,89 kg,47,A+
Wang_Nan_0001.jpg,Wang_Nan_0001,169 cm,65 kg,30,O+
Wang_Yi_0001.jpg,Wang_Yi_0001,159 cm,50 kg,59,A+
Wang_Yi_0002.jpg,Wang_Yi_0002,156 cm,89 kg,25,O+
Wei_Wu_0001.jpg,Wei_Wu_0001,174 cm,90 kg,24,O+
Wen_Ho_Lee_0001.jpg,Wen_Ho_Lee_0001,152 cm,78 kg,52,B+
Werner_Schlager_0001.jpg,Werner_Schlager_0001,169 cm,60 kg,53,B+
Wesley_Clark_0001.jpg,Wesley_Clark_0001,164 cm,77 kg,22,O+
